trainNo,sequence,stationCode,arrival,departure,distanceFromOriginKm,nextSegmentId,haltMinutes
12415,5,VGLJ,14:35,14:40,511.9,SEG0026,5
12415,6,AGC,16:42,16:47,673.0,SEG0027,5
12415,7,MTJ,18:49,18:54,760.2,SEG0028,5
12415,8,NDLS,20:56,20:01,910.2,,0
12227,1,MMCT,06:07,06:12,0,SEG0029,0
12227,2,ST,08:14,08:19,192.0,SEG0030,5
12227,3,BRC,10:21,10:26,255.8,SEG0031,5
12227,4,RTM,12:28,12:33,321.8,SEG0032,5
12227,5,INDB,14:35,14:40,498.2,,0
22192,1,JBP,06:07,06:12,0,SEG0033,0
22192,2,BPL,08:14,08:19,111.8,SEG0007,5
22192,3,ET,10:21,10:26,203.0,SEG0008,5
22192,4,KNW,12:28,12:33,316.0,SEG0009,5
22192,5,BSL,14:35,14:40,400.7,SEG0010,5
22192,6,MMR,16:42,16:47,567.3,SEG0034,5
22192,7,RTM,18:49,18:54,764.5,SEG0032,5
22192,8,INDB,20:56,20:01,940.9,,0
12920,1,INDB,06:07,06:12,0,SEG0023,0
12920,2,RTM,08:14,08:19,176.4,SEG0024,5
12920,3,KOTA,10:21,10:26,233.6,SEG0035,5
12920,4,AGC,12:28,12:33,406.0,SEG0003,5
12920,5,GWL,14:35,14:40,543.3,SEG0004,5
12920,6,VGLJ,16:42,16:47,653.9,SEG0005,5
12920,7,BINA,18:49,18:54,727.6,SEG0006,5
12920,8,BPL,20:56,20:01,854.4,SEG0007,5
12920,9,ET,22:03,22:08,945.6,SEG0036,5
12920,10,NDLS,00:10,00:15,1011.6,,0
12951,1,MMCT,06:07,06:12,0,SEG0029,0
12951,2,ST,08:14,08:19,192.0,SEG0030,5
12951,3,BRC,10:21,10:26,255.8,SEG0031,5
12951,4,RTM,12:28,12:33,321.8,SEG0024,5
12951,5,KOTA,14:35,14:40,379.0,SEG0035,5
12951,6,AGC,16:42,16:47,551.4,SEG0003,5
12951,7,GWL,18:49,18:54,688.7,SEG0004,5
12951,8,VGLJ,20:56,20:01,799.3,SEG0005,5
12951,9,BINA,22:03,22:08,873.0,SEG0006,5
12951,10,BPL,00:10,00:15,999.8,SEG0007,5
12951,11,ET,02:17,02:22,1091.0,SEG0036,5
12951,12,NDLS,04:24,04:29,1157.0,,0
12002,1,BPL,06:07,06:12,0,SEG0007,0
12002,2,ET,08:14,08:19,91.2,SEG0037,5
12002,3,BINA,10:21,10:26,298.7,SEG0038,5
12002,4,VGLJ,12:28,12:33,372.4,SEG0039,5
12002,5,GWL,14:35,14:40,483.0,SEG0040,5
12002,6,AGC,16:42,16:47,620.3,SEG0027,5
12002,7,MTJ,18:49,18:54,707.5,SEG0028,5
12002,8,NDLS,20:56,20:01,857.5,,0
12124,1,PUNE,06:07,06:12,0,SEG0041,0
12124,2,DD,08:14,08:19,98.5,SEG0042,5
12124,3,MMCT,10:21,10:26,181.1,,0
12129,1,PUNE,06:07,06:12,0,SEG0041,0
12129,2,DD,08:14,08:19,98.5,SEG0012,5
12129,3,SUR,10:21,10:26,249.9,SEG0013,5
12129,4,WADI,12:28,12:33,435.6,SEG0014,5
12129,5,GTL,14:35,14:40,525.5,SEG0015,5
12129,6,DMM,16:42,16:47,617.2,SEG0016,5
12129,7,SBC,18:49,18:54,704.4,,0
12810,1,CSMT,06:07,06:12,0,SEG0043,0
12810,2,MMCT,08:14,08:19,59.1,SEG0029,5
12810,3,ST,10:21,10:26,251.1,SEG0030,5
12810,4,BRC,12:28,12:33,314.9,SEG0031,5
12810,5,RTM,14:35,14:40,380.9,SEG0024,5
12810,6,KOTA,16:42,16:47,438.1,SEG0035,5
12810,7,AGC,18:49,18:54,610.5,SEG0003,5
12810,8,GWL,20:56,20:01,747.8,SEG0004,5
12810,9,VGLJ,22:03,22:08,858.4,SEG0044,5
12810,10,BPL,00:10,00:15,1014.2,SEG0007,5
12810,11,ET,02:17,02:22,1105.4,,0
22436,1,NDLS,06:00,06:05,0,SEG0050,0
22436,2,CNB,10:08,10:12,440.0,SEG0051,4
22436,3,PRYJ,12:08,12:12,635.0,SEG0052,4
22436,4,BSB,14:00,14:05,759.0,,0
82902,1,MMCT,06:40,06:45,0,SEG0029,0
82902,2,ST,09:30,09:35,263.0,SEG0030,5
82902,3,BRC,10:45,10:50,392.0,SEG0031,5
82902,4,ADI,13:05,13:10,491.0,,0
12715,1,BPL,01:10,01:15,0,SEG0007,0
12715,2,VGLJ,03:30,03:35,292.0,SEG0005,5
12715,3,GWL,05:25,05:30,390.0,SEG0004,5
12715,4,AGC,07:15,07:20,508.0,SEG0003,5
12715,5,MTJ,08:00,08:05,562.0,SEG0002,5
12715,6,NDLS,12:00,12:15,703.0,SEG0055,15
12715,7,CDG,16:30,16:35,950.0,SEG0056,5
12715,8,ASR,20:45,20:50,1198.0,,0
12909,1,MMCT,17:30,17:35,0,SEG0029,0
12909,2,ST,20:50,20:55,263.0,SEG0030,5
12909,3,BRC,22:20,22:25,392.0,SEG0031,5
12909,4,RTM,01:30,01:35,653.0,SEG0024,5
12909,5,KOTA,04:40,04:45,920.0,SEG0025,5
12909,6,MTJ,07:30,07:35,1244.0,SEG0028,5
12909,7,NDLS,09:40,09:45,1384.0,,0
